start_at,symbol,period,open,high,low,close
1569888000,BTCUSD,1,8304.96,8330.33,8304.94,8307.57
1569888060,BTCUSD,1,8307.57,8307.57,8295.05,8295.51
1569888120,BTCUSD,1,8295.51,8295.51,8288.8,8288.8
1569888180,BTCUSD,1,8288.8,8288.8,8262.56,8262.56
1569888240,BTCUSD,1,8262.56,8266.79,8261.68,8264.69
1569888300,BTCUSD,1,8264.69,8269.9,8259.83,8260.3
1569888360,BTCUSD,1,8260.3,8268.29,8259.98,8267.34
1569888420,BTCUSD,1,8267.34,8267.34,8251.55,8254.2
1569888480,BTCUSD,1,8254.2,8265.9,8254.2,8265.81
1569888540,BTCUSD,1,8265.81,8265.81,8254.88,8256.45
1569888600,BTCUSD,1,8256.45,8256.45,8252.02,8252.02
1569888660,BTCUSD,1,8252.02,8252.02,8229.38,8241.26
1569888720,BTCUSD,1,8241.26,8247.1,8241.23,8247.09
1569888780,BTCUSD,1,8247.09,8249.22,8246.67,8249.02
1569888840,BTCUSD,1,8249.02,8259.73,8249.02,8256.22
1569888900,BTCUSD,1,8256.22,8257.22,8254.71,8255.78
1569888960,BTCUSD,1,8255.78,8267.07,8255.77,8267.07
1569889020,BTCUSD,1,8267.07,8267.92,8262.34,8264.9
1569889080,BTCUSD,1,8264.9,8265.03,8260.0,8260.01
1569889140,BTCUSD,1,8260.01,8263.45,8258.23,8260.64
1569889200,BTCUSD,1,8260.64,8260.64,8245.39,8246.85
1569889260,BTCUSD,1,8246.85,8247.89,8242.0,8247.87
1569889320,BTCUSD,1,8247.87,8248.7,8240.06,8240.06
1569889380,BTCUSD,1,8240.06,8240.09,8230.12,8235.01
1569889440,BTCUSD,1,8235.01,8236.35,8234.0,8234.01
1569889500,BTCUSD,1,8234.01,8243.04,8234.01,8243.04
1569889560,BTCUSD,1,8243.04,8251.65,8241.0,8248.89
1569889620,BTCUSD,1,8248.89,8249.61,8243.32,8244.78
1569889680,BTCUSD,1,8244.78,8244.78,8236.2,8240.99
1569889740,BTCUSD,1,8240.99,8246.42,8240.99,8241.29
